Observation,Action,Points
"Machine Room
This is a large, cold room whose sole exit is to the north. In one corner there is a machine which is reminiscent of a clothes dryer. On its face is a switch which is labelled ""START"". The switch does not appear to be manipulable by any human hand (unless the fingers are about 1/16 by 1/4 inch). On the front of the machine is a large lid, which is closed.

",Open lid,0
"The lid opens.

",Put coal in machine,0
"Done.

",Close lid,0
"The lid closes.

",Turn switch with screwdriver,0
"The machine comes to life (figuratively) with a dazzling display of colored lights and bizarre noises. After a few moments, the excitement abates.

",Open lid,0
"The lid opens, revealing a huge diamond.

",Get diamond,10
"Taken.

",N,0
"Drafty Room
At the end of the chain is a basket.

",Put diamond in basket,0
"Done.

",Put torch in basket,0
"Done.

",Put screwdriver in basket,0
"Done.

",E,0
"Timber Room
There is a brass lantern (battery-powered) here.
There is a clove of garlic here.
There is a broken timber here.

",Get lamp,0
"Taken.

",Get garlic,0
"Taken.

",E,0
"Ladder Bottom

",U,0
"Ladder Top

",U,0
"Coal Mine

",N,0
"Coal Mine

",E,0
"Coal Mine

",S,0
"Coal Mine

",N,0
"Gas Room
There is a sapphire-encrusted bracelet here.

",Get bracelet,5
"Taken.

",U,0
"Smelly Room

",S,0
"Shaft Room
From the chain is suspended a basket.

",Raise basket,0
"The basket is raised to the top of the shaft.

",Get all from basket,0
"screwdriver: Taken.
torch: Taken.
huge diamond: Taken.

",W,0
"Bat Room
In the corner of the room on the ceiling is a large vampire bat who is obviously deranged and holding his nose.
There is an exquisite jade figurine here.

",Get figurine,5
"Taken.

",S,0
"Squeaky Room

",E,0
"Mine Entrance

",S,0
"Slide Room

",D,0
"Cellar
There is a bloody axe here.

",Drop garlic,0
"Dropped.

",U,0
"Living Room
Your collection of treasures consists of:
  A beautiful brass bauble
  A golden clockwork canary
  A jewel-encrusted egg
  A chalice
  A painting
  A beautiful jeweled scarab
  A large emerald
  A pot of gold
  A sceptre
  A crystal trident
  A leather bag of coins
  A platinum bar
  A crystal skull
  A gold coffin

",Put diamond in case,10
"Done.

",Put torch in case,6
"Done.

",Put bracelet in case,5
"Done.

",Put figurine in case,5
"Done.

",W,0
"Strange Passage

",W,0
"Cyclops Room

",U,0
"Treasure Room
There is a nasty knife here.
There is a rusty knife here.
There is a stiletto here.
There is an old trunk here, bulging with assorted jewels.

",take trunk,15
"Taken.

",D,0
"Cyclops Room

",E,0
"Strange Passage

",E,0
"Living Room
Your collection of treasures consists of:
  A jade figurine
  A sapphire-encrusted bracelet
  A torch (providing light)
  A huge diamond
  A beautiful brass bauble
  A golden clockwork canary
  A jewel-encrusted egg
  A chalice
  A painting
  A beautiful jeweled scarab
  A large emerald
  A pot of gold
  A sceptre
  A crystal trident
  A leather bag of coins
  A platinum bar
  A crystal skull
  A gold coffin

",PUT trunk in case,5
"Done.
An almost inaudible voice whispers in your ear, ""Look to your treasures for the final secret.""

",Look,0
"Living Room
You are in the living room. There is a doorway to the east. To the west is a cyclops-shaped opening in an old wooden door, above which is some strange gothic lettering, a trophy case, and a rug lying beside an open trap door.
In the trophy case is an ancient parchment which appears to be a map.
Your collection of treasures consists of:
  A trunk of jewels
  A jade figurine
  A sapphire-encrusted bracelet
  A torch (providing light)
  A huge diamond
  A beautiful brass bauble
  A golden clockwork canary
  A jewel-encrusted egg
  A chalice
  A painting
  A beautiful jeweled scarab
  A large emerald
  A pot of gold
  A sceptre
  A crystal trident
  A leather bag of coins
  A platinum bar
  A crystal skull
  A gold coffin

",Get map,0
"Taken.

",Examine map,0
"The map shows a forest with three clearings. The largest clearing contains a house. Three paths leave the large clearing. One of these paths, leading southwest, is marked ""To Stone Barrow"".

",E,0
"Kitchen
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water
There is a brown sack here.
The brown sack contains:
  A lunch

",E,0
"Behind House

",N,0
"North of House

",W,0
"West of House
You are standing in an open field west of a white house, with a boarded front door. A secret path leads southwest into the forest.
There is a small mailbox here.

",Sw,0
"Stone Barrow
You are standing in front of a massive barrow of stone. In the east face is a huge stone door which is open. You cannot see into the dark of the tomb.

",W,0
